nohup: ignoring input
======================================================
  Experimentos MPI — Multiplicación de Matrices
  Fecha: Fri May 15 22:50:27 UTC 2026
======================================================
[INFO] Compilando...
[INFO] Compilación completada

version,N,P,rep,tiempo_ms,gflops
row,500,1,1,101.058,2.47383
block,500,1,1,102.802,2.43186
row,500,1,2,99.5388,2.51158
block,500,1,2,99.4711,2.51329
row,500,1,3,100.195,2.49513
block,500,1,3,100.357,2.4911
row,500,1,4,101.365,2.46634
block,500,1,4,99.9742,2.50065
row,500,1,5,100.703,2.48255
block,500,1,5,100.011,2.49972
row,500,2,1,54.9635,4.54847
block,500,2,1,51.8845,4.8184
row,500,2,2,55.435,4.50979
block,500,2,2,54.8244,4.56001
row,500,2,3,54.2173,4.61107
block,500,2,3,50.8677,4.91471
row,500,2,4,50.9542,4.90637
block,500,2,4,50.7427,4.92682
row,500,2,5,50.9787,4.90401
block,500,2,5,51.3957,4.86422
row,500,3,1,65.7717,3.80103
block,500,3,1,65.6035,3.81077
row,500,3,2,65.1261,3.83871
block,500,3,2,64.9203,3.85087
row,500,3,3,65.0833,3.84123
block,500,3,3,66.7372,3.74604
row,500,3,4,65.5679,3.81284
block,500,3,4,66.1504,3.77927
row,500,3,5,64.9743,3.84768
block,500,3,5,65.4532,3.81952
row,500,4,1,49.225,5.07872
block,500,4,1,49.8567,5.01437
row,500,4,2,49.6414,5.03612
block,500,4,2,49.2426,5.0769
row,500,4,3,55.6255,4.49434
block,500,4,3,49.7772,5.02238
row,500,4,4,49.4593,5.05467
block,500,4,4,49.635,5.03677
row,500,4,5,50.1526,4.98479
block,500,4,5,49.2182,5.07942
row,500,6,1,32.9516,7.58689
block,500,6,1,33.6156,7.43702
row,500,6,2,33.6936,7.41981
block,500,6,2,34.2176,7.30619
row,500,6,3,34.0159,7.34951
block,500,6,3,34.0533,7.34143
row,500,6,4,32.8234,7.61651
block,500,6,4,34.5531,7.23523
row,500,6,5,41.2595,6.05921
block,500,6,5,33.7576,7.40574
row,500,8,1,29.2321,8.55225
block,500,8,1,28.7618,8.69209
row,500,8,2,25.1121,9.95535
block,500,8,2,25.071,9.97167
row,500,8,3,25.4224,9.83386
block,500,8,3,26.0367,9.60185
row,500,8,4,25.5559,9.78246
block,500,8,4,25.939,9.63799
row,500,8,5,31.6354,7.90254
block,500,8,5,28.2704,8.84316
row,500,12,1,19.1065,13.0845
block,500,12,1,19.0172,13.146
row,500,12,2,17.5625,14.2349
block,500,12,2,17.0083,14.6987
row,500,12,3,17.1081,14.6129
block,500,12,3,17.2558,14.4879
row,500,12,4,18.4871,13.523
block,500,12,4,,
row,500,12,5,19.007,13.153
block,500,12,5,18.5943,13.445
row,1000,1,1,862.255,2.3195
block,1000,1,1,851.896,2.3477
row,1000,1,2,863.83,2.31527
block,1000,1,2,855.439,2.33798
row,1000,1,3,899.066,2.22453
block,1000,1,3,867.462,2.30558
row,1000,1,4,874.232,2.28772
block,1000,1,4,883.063,2.26484
row,1000,1,5,862.992,2.31752
block,1000,1,5,1082.31,1.8479
row,1000,2,1,791.524,2.52677
block,1000,2,1,775.407,2.57929
row,1000,2,2,668.122,2.99346
block,1000,2,2,748.418,2.6723
row,1000,2,3,758.74,2.63595
block,1000,2,3,800.301,2.49906
row,1000,2,4,693.864,2.88241
